C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,UTS
0.14,0.35,1.56,0.01,0.015,0,0,0.03,0.009,0,0,0,0,0,0,0,0,0,0,470
0.15,0.31,1.41,0.01,0.015,0,0,0.02,0.013,0,0.096,0,0,0,0,0,0,0,0,579
0.207,0.22,1.28,0.001,0.006,0.52,0.61,0.015,0.005,0,0,0,0,0,0,0.03,0,0,0,722
0.203,0.23,1.34,0.001,0.015,0.53,0.5,0.015,0.005,0,0,0,0,0,0,0.01,0,0,0,715.6
0.2,0.22,1.29,0.001,0.027,0.51,0.62,0.03,0.005,0,0,0,0,0,0,0.04,0,0,0,714.6
0.214,0.22,1.29,0.001,0.035,0.51,0.61,0.012,0.005,0,0,0,0,0,0,0.03,0,0,0,722.1
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,457
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,533
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,554
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,615
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.007,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,617
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.007,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,671
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,664
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,641
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,555
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,703
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,644
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,631
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,642
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,579
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,578
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,609
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,571
