C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,YS
0.14,0.35,1.56,0.01,0.015,0,0,0.03,0.009,0,0,0,0,0,0,0,0,0,0,272
0.15,0.31,1.41,0.01,0.015,0,0,0.02,0.013,0,0.096,0,0,0,0,0,0,0,0,378
0.054,0.03,0.54,0,0,0,0,0,0.005,0,0,0,0.075,0,0,0,0,0,0,412
0.061,0.03,0.56,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,410
0.055,0.03,0.55,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,395
0.054,0.03,0.54,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,428
0.048,0.03,0.53,0,0,0,0,0,0.004,0,0,0,0.11,0,0,0,0,0,0,430
0.052,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.033,0,0,0,0,0,0,400
0.052,0.03,0.53,0,0,0,0,0,0.005,0,0,0,0.065,0,0,0,0,0,0,440
0.054,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.06,0,0,0,0,0,0,418
0.052,0.03,0.55,0,0,0,0,0,0.005,0,0,0,0.052,0,0,0,0,0,0,418
0.051,0.03,0.52,0,0,0,0,0,0.004,0,0,0,0.042,0,0,0,0,0,0,412
0.045,0.03,0.49,0,0,0,0,0,0.004,0,0,0,0.092,0,0,0,0,0,0,388
0.069,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.08,0,0,0,0,0,0,464
0.075,0.03,0.5,0,0,0,0,0,0.006,0,0,0,0.1,0,0,0,0,0,0,505
0.065,0.03,0.49,0,0,0,0,0,0.006,0,0,0,0.082,0,0,0,0,0,0,395
0.065,0.03,0.47,0,0,0,0,0,0.006,0,0,0,0.09,0,0,0,0,0,0,398
0.06,0.03,0.45,0,0,0,0,0,0.007,0,0,0,0.18,0,0,0,0,0,0,483
0.009,0.03,0.96,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,197
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,169
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,213
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,357
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,165
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,224
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,357
0.031,0.03,0.59,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,228
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,192
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,185
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,182
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,209
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,189
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,182
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,239
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,203
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,196
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,200
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,182
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,172
