stock;harvest_value;npv;non_dominated;decision_variables
834,9086809;74114,92657;91494,0437;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'clearcut_2035', (4, 12): 'donothing', (4, 13): 'above_2035', (4, 14): 'clearcut_2035', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'even_2030 + clearcut_2035', (4, 19): 'even_2035', (4, 22): 'even_2025 + clearcut_2035'}
3422,75801;0;70547,89613;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'donothing', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'donothing', (4, 22): 'donothing'}
3422,75801;0;70547,89613;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'donothing', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'donothing', (4, 22): 'donothing'}
2280,014516;30694,78336;78028,43599;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'even_2035'}
2886,142279;14340,80592;74313,93792;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2035', (4, 14): 'below_2035', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
1899,155229;40335,75915;81051,88296;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'even_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'below_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
3237,553249;4480,476804;71801,89796;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'above_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'below_2035', (4, 22): 'donothing'}
1610,860161;48550,97227;83107,98806;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'even_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'below_2035'}
2305,117339;29649,4779;78643,44621;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
3051,841349;9358,333168;73156,36491;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'below_2035', (4, 19): 'below_2035', (4, 22): 'below_2035'}
2461,164512;26246,89257;76736,83455;True;{(4, 3): 'donothing', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'donothing', (4, 22): 'donothing'}
1515,083478;51501,36435;83945,77564;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2030', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'clearcut_2035'}
2951,031951;12326,54347;73668,83151;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
2729,08296;18220,25442;74736,37242;True;{(4, 3): 'donothing', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'donothing', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'below_2035', (4, 22): 'donothing'}
2016,490622;37083,36269;80133,82254;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'below_2035', (4, 22): 'donothing'}
2563,661847;22353,62181;76875,34227;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'even_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'below_2035', (4, 22): 'donothing'}
2429,646588;25829,71308;77874,53362;True;{(4, 3): 'clearcut_2035', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'below_2035', (4, 19): 'below_2035', (4, 22): 'below_2035'}
1939,611145;39106,77172;80733,18738;True;{(4, 3): 'clearcut_2035', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'even_2030', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'below_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
3332,360433;2391,728354;71227,17754;True;{(4, 3): 'donothing', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'donothing', (4, 22): 'donothing'}
2649,159843;19887,76575;76230,63075;True;{(4, 3): 'clearcut_2035', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'donothing', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'below_2035', (4, 22): 'donothing'}
1256,71835;59783,94725;86500,78807;True;{(4, 3): 'clearcut_2035', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'clearcut_2035', (4, 12): 'donothing', (4, 13): 'below_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
1927,638993;39347,31705;80746,3688;True;{(4, 3): 'clearcut_2035', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'even_2035', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'below_2035', (4, 19): 'below_2035', (4, 22): 'donothing'}
2167,277355;33350,96087;79152,18145;True;{(4, 3): 'clearcut_2035', (4, 4): 'donothing', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2030', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'donothing', (4, 19): 'donothing', (4, 22): 'donothing'}
2153,01314;34635,58391;79117,61329;True;{(4, 3): 'donothing', (4, 4): 'clearcut_2035', (4, 5): 'donothing', (4, 9): 'clearcut_2035', (4, 10): 'donothing', (4, 11): 'donothing', (4, 12): 'donothing', (4, 13): 'below_2025', (4, 14): 'donothing', (4, 15): 'donothing', (4, 16): 'donothing', (4, 17): 'clearcut_2035', (4, 19): 'below_2035', (4, 22): 'clearcut_2035'}
