INCOME, QUALITY, VOLUME
-1, -1, -1
4.107322497972384095e+07, 8.145971745040070534e+09, 2.808625243037787004e+04
4.072115857646759599e+07, 8.131148157887465477e+09, 2.841776614422724015e+04
4.030586075299745053e+07, 8.113702803315873146e+09, 2.875176392060239232e+04
3.984704889216274768e+07, 8.094357764097969055e+09, 2.909449695254605831e+04
3.932060915298223495e+07, 8.072228618053338051e+09, 2.944550256636391350e+04
3.871443094932692498e+07, 8.046696038387701035e+09, 2.980653362692093651e+04
3.802402017966327071e+07, 8.017636611397181511e+09, 3.018212406224372535e+04
3.719946356134777516e+07, 7.982927654007337570e+09, 3.057303352776211614e+04
3.617084466721139103e+07, 7.939644280173990250e+09, 3.098278854998530733e+04
3.476992008367203176e+07, 7.880664384421235085e+09, 3.141637607552985719e+04
3.213752593176776916e+07, 7.769861557940131187e+09, 3.187844803338911879e+04
1.876938380319613963e+07, 8.269132860528736115e+09, 3.243611692653857244e+04
4.286550207268079370e+07, 8.002417974379301071e+09, 2.844427771821837086e+04
4.250368829452534765e+07, 7.983211077553155899e+09, 2.874141427272912551e+04
4.210187759743560851e+07, 7.961874825986157417e+09, 2.904518165168575797e+04
4.164758024740746617e+07, 7.937780890719431877e+09, 2.935601367237203885e+04
4.113793151074644923e+07, 7.910808501945222855e+09, 2.967624704904656028e+04
4.054988699503781646e+07, 7.879560001021343231e+09, 3.000660109490393370e+04
3.985656092290113866e+07, 7.842761538779240608e+09, 3.034845351659928201e+04
3.901263558798126876e+07, 7.798013821227044106e+09, 3.070471362413382667e+04
3.789958941285181791e+07, 7.738976106339689255e+09, 3.107694402699801140e+04
3.615210290690406412e+07, 7.646372264200366974e+09, 3.146656127333453333e+04
3.224286932333090529e+07, 7.686098453326563835e+09, 3.188036543118028931e+04
1.876938380319613963e+07, 8.269132860528736115e+09, 3.243611692653857244e+04
4.425115305569555610e+07, 7.872068818290380478e+09, 2.872090276151576109e+04
4.389270874252755195e+07, 7.849095519043782234e+09, 2.899349499324004864e+04
4.349693710053919256e+07, 7.823810027098476410e+09, 2.927350190920487876e+04
4.305292497146661580e+07, 7.795372134957363129e+09, 2.956010390415967777e+04
4.253920359482600540e+07, 7.762562516024020195e+09, 2.985432656727741778e+04
4.194396759574706107e+07, 7.724400739904242516e+09, 3.015849157796144209e+04
4.121541562471091747e+07, 7.677824258108649254e+09, 3.047181952368154816e+04
4.027678399514053762e+07, 7.617750223444545746e+09, 3.079653132196270599e+04
3.894013672752798349e+07, 7.532318293837682724e+09, 3.113361766819879631e+04
3.642117083136869967e+07, 7.497744404702691078e+09, 3.147632613164291979e+04
3.224328975628647581e+07, 7.688394686322571754e+09, 3.188041974766979183e+04
1.876938380319613963e+07, 8.269132860528736115e+09, 3.243611692653857244e+04
4.536864507252964377e+07, 7.752008488401317596e+09, 2.894406731970953115e+04
4.501859752281313390e+07, 7.725730599985470772e+09, 2.919800521505529832e+04
4.462455421579888463e+07, 7.696218136004683495e+09, 2.945739273913477882e+04
4.416752831482430547e+07, 7.662016768111146927e+09, 2.972201604239320295e+04
4.363726927107877284e+07, 7.622228332505057335e+09, 2.999387261924529594e+04
4.299471230458770692e+07, 7.574053085710185051e+09, 3.027282224877608314e+04
4.218104964416026324e+07, 7.513101516592527390e+09, 3.055955044103687760e+04
4.108116865246829391e+07, 7.430551356495137215e+09, 3.085486457456556309e+04
3.920028083971253783e+07, 7.377777259540444374e+09, 3.114777639945494593e+04
3.642179831546414644e+07, 7.500513463285103798e+09, 3.147632720772149696e+04
3.224379075448680669e+07, 7.688675787993344307e+09, 3.188038362392613999e+04
1.876938380319613963e+07, 8.269132860528736115e+09, 3.243611692653857244e+04
4.629259963055682927e+07, 7.639813588934459686e+09, 2.912858139646014388e+04
4.593108050294271111e+07, 7.608783809089223862e+09, 2.936362832926742340e+04
